X,Y,Z,focal length,aim x,aim y,aim z
m,m,m,m,m,m,m
285.78,382.24,5.2,489.7281552045,0,0,115
156.76,450.95,5.2,489.8832923258,0,0,115
129.36,459.06,5.2,489.4140713139,0,0,115
109.95,440.12,5.2,466.7447449088,0,0,115
135.64,430.78,5.2,464.7856043382,0,0,115
100.24,465.69,5.2,488.8468816511,0,0,115
33.45,402.45,5.2,418.4984408573,0,0,115
15.75,380.97,5.2,396.7899235112,0,0,115
29.45,358.07,5.2,375.682668485,0,0,115
43.15,337.86,5.2,357.8649774706,0,0,115
59.71,355.37,5.2,376.7083235077,0,0,115
69.99,333.91,5.2,358.3999556362,0,0,115
48.86,378.34,5.2,396.9691363318,0,0,115
-41.91,473.75,5.2,488.1101828481,0,0,115
-128.68,460.39,5.2,490.4829604584,0,0,115
-156.09,449.63,5.2,488.4539538176,0,0,115
-183.49,438.83,5.2,488.1561113005,0,0,115
-186.34,411.98,5.2,465.3022200678,0,0,115
-210.32,426.83,5.2,488.3383983469,0,0,115
-212.04,399.82,5.2,465.696289442,0,0,115
-236.01,414.52,5.2,489.472767884,0,0,115
-227.45,543.77,5.2,599.5626367612,0,0,115
-257.71,569.32,5.2,634.5043313485,0,0,115
-281.68,593.55,5.2,666.1090488051,0,0,115
-277.12,631.37,5.2,698.1974013845,0,0,115
-246.86,609.64,5.2,666.8259362082,0,0,115
-221.17,582.93,5.2,633.0715550394,0,0,115
